,simplified,traditional,pinyin,meaning,hsk,audio_file
688,她的手指很漂亮。,她的手指很漂亮。,Tā de shǒuzhǐ hěn piàoliang.,Her fingers are very beautiful.,4,688.mp3
689,骑摩托车很危险。,騎摩托車很危險。,Qí mótuōchē hěn wēixiǎn.,Riding a motorbike is very dangerous.,4,689.mp3
690,我讨厌你的行为。,我討厭你的行為。,Wǒ tǎoyàn nǐ de xíngwéi.,I hate what you've done.,4,690.mp3
691,闹钟响了，但是他没醒。,鬧鐘響了，但是他沒醒。,"Nàozhōng xiǎng le, dànshì tā méi xǐng.","The alarm clock has rung, but he hasn't yet woken up.",4,691.mp3
692,这双鞋的样子很好看。,這雙鞋的樣子很好看。,Zhè shuāng xié de yàngzi hěn hǎokàn.,This pair of shoes looks beautiful.,4,692.mp3
693,这个故事真有趣呀。,這個故事真有趣呀。,Zhège gùshi zhēn yǒuqù ya.,This story is really interesting.,4,693.mp3
694,我的收入提高了。,我的收入提高了。,Wǒ de shōurù tígāo le.,My income went up.,4,694.mp3
695,实验部分很重要。,實驗部分很重要。,Shíyàn bùfen hěn zhòngyào.,The experimental part is very important.,4,695.mp3
696,我不理解你说的话。,我不理解你說的話。,Wǒ bù lǐjiě nǐ shuō de huà.,I don't understand what you said.,4,696.mp3
697,这些苹果重5斤。,這些蘋果重5斤。,Zhèxiē píngguǒ zhòng wǔ jīn.,These apples weigh five pounds.,4,697.mp3
698,士兵在执行一项任务。,士兵在執行一項任務。,Shìbīng zài zhíxíng yī xiàng rènwu.,The soldiers are on a mission.,4,698.mp3
699,这支笔不好使。,這支筆不好使。,Zhè zhī bǐ bù hǎo shǐ.,This pen isn't easy to use.,4,699.mp3
700,请 右 转。,請 右 轉。,Qǐng yòu zhuǎn.,Please turn right.,4,700.mp3
701,他是经济博士。,他是經濟博士。,Tā shì jīngjì bóshì.,He is a PhD in Economics.,4,701.mp3
702,他考试前很紧张。,他考試前很緊張。,Tā kǎoshì qián hěn jǐnzhāng.,He was very nervous before the examination.,4,702.mp3
703,虽然跑得很累，但是很多人都没有放弃。,雖然跑得很累，但是很多人都沒有放棄。,"Suīrán pǎo de hěn lèi, dànshì hěn duō rén dōu méiyǒu fàngqì.","Though exhausted from running, many refused to give up.",4,703.mp3
704,河水的水位大概是6米。,河水的水位大概是6米。,Héshuǐ de shuǐwèi dàgài shì liù mǐ.,The water level of the river is about six meters.,4,704.mp3
705,让我们重新开始吧。,讓我們重新開始吧。,Ràng wǒmen chóngxīn kāishǐ ba.,Let's start over.,4,705.mp3
706,其中的高个子就是我哥哥。,其中的高個子就是我哥哥。,Qízhōng de gāogèzi jiù shì wǒ gēge.,The tall one of the group is my older brother.,4,706.mp3
707,我们来自东方。,我們來自東方。,Wǒmen lái zì dōngfāng.,We're from the East.,4,707.mp3
708,杜 先生 本来 只 想 和 她 做 朋友。,杜 先生 本來 只 想 和 她 做 朋友。,Dù xiānsheng běnlái zhǐ xiǎng hé tā zuò péngyou.,Mr. Du originally just wanted to be friends with her.,4,708.mp3
709,办公室很宽敞，并且很明亮。,辦公室很寬敞，並且很明亮。,"Bàngōngshì hěn kuānchang, bìngqiě hěn míngliàng.",The office is very spacious and bright.,4,709.mp3
710,我直接走向卧室。,我直接走向臥室。,Wǒ zhíjiē zǒuxiàng wòshì.,I go straight toward the bedroom.,4,710.mp3
711,对于电脑我一点也不懂。,對於電腦我一點也不懂。,Duìyú diànnǎo wǒ yìdiǎn yě bù dǒng.,I know nothing about computers.,4,711.mp3
712,你的心跳很正常。,你的心跳很正常。,Nǐ de xīntiào hěn zhèngcháng.,Your heartbeat is quite normal.,4,712.mp3
713,请你再说一遍。,請你再說一遍。,Qǐng nǐ zài shuō yí biàn.,Can you please say it again.,4,713.mp3
714,你用什么方法减肥？,你用什麼方法減肥？,Nǐ yòng shénme fāngfǎ jiǎnféi?,What method are you using to lose weight?,4,714.mp3
715,我去扔垃圾。,我去扔垃圾。,Wǒ qù rēng lājī.,I'm going to throw out the garbage.,4,715.mp3
716,她的工作能力不亚于其他人。,她的工作能力不亞於其他人。,Tā de gōngzuò nénglì bùyàyú qítā rén.,She is every bit as competent in her work as others.,4,716.mp3
717,我们另外找时间见面。,我們另外找時間見面。,Wǒmen lìngwài zhǎo shíjiān jiànmiàn.,Let's find another time to meet.,4,717.mp3
718,放松，别紧张。,放鬆，別緊張。,"Fàngsōng, bié jǐnzhāng.","Relax, don't be nervous.",4,718.mp3
719,出国旅行护照丢了会很麻烦。,出國旅行護照丟了會很麻煩。,Chūguó lǚxíng hùzhào diūle huì hěn máfan.,It can be very troublesome if you lose your passport when traveling overseas.,4,719.mp3
720,他负责教数学。,他負責教數學。,Tā fùzé jiāo shùxué.,He is responsible for teaching mathematics.,4,720.mp3
721,她从梦中醒过来。,她從夢中醒過來。,Tā cóng mèng zhōng xǐng guòlái.,She woke up from her dream.,4,721.mp3
722,她戴着一条银手链。,她戴著一條銀手鏈。,Tā dàizhe yī tiáo yín shǒuliàn.,She's wearing a silver bracelet.,4,722.mp3
723,这个信息是错误的。,這個信息是錯誤的。,Zhège xìnxī shì cuòwù de.,This information is wrong.,4,723.mp3
724,他的穿着很随便。,他的穿著很隨便。,Tā de chuānzhuó hěn suíbiàn.,He is dressed very casually.,4,724.mp3
725,他的工作经历很丰富。,他的工作經歷很豐富。,Tā de gōngzuò jīnglì hěn fēngfù.,He has a wealth of work experience.,4,725.mp3
726,我精神上支持你。,我精神上支持你。,Wǒ jīngshén shang zhīchí nǐ.,I'll give you mental support.,4,726.mp3
727,那是我的建议。,那是我的建議。,Nà shì wǒ de jiànyì.,That's my suggestion.,4,727.mp3
728,考试前要复习，否则很难通过。,考試前要復習，否則很難通過。,"Kǎoshì qián yào fùxí, fǒuzé hěn nán tōng'guò.","You must review before exams, otherwise it's hard to pass.",4,728.mp3
729,今晚没什么月光。,今晚沒什麼月光。,Jīnwǎn méi shénme yuèguāng.,There's no moonlight tonight.,4,729.mp3
730,房间为您安排好了。,房間為您安排好了。,Fángjiān wèi nín ānpái hǎo le.,The room has been arranged for you.,4,730.mp3
731,我把钥匙交给了房东。,我把鑰匙交給了房東。,Wǒ bǎ yàoshi jiāogěile fángdōng.,I gave my key to the landlord.,4,731.mp3
732,这个信息是错误的。,這個信息是錯誤的。,Zhège xìnxī shì cuòwù de.,This information is wrong.,4,732.mp3
733,他做完了全部的工作。,他做完了全部的工作。,Tā zuòwánle quánbù de gōngzuò.,He finished all the work.,4,733.mp3
734,我在会上首先发言。,我在會上首先發言。,Wǒ zài huì shang shǒuxiān fāyán.,I spoke first at the meeting.,4,734.mp3
735,阳光照在树叶上。,陽光照在樹葉上。,Yángguāng zhào zài shùyè shàng.,The sun is shining on the tree leaves.,4,735.mp3
736,我把钥匙交给了房东。,我把鑰匙交給了房東。,Wǒ bǎ yàoshi jiāogěile fángdōng.,I gave my key to the landlord.,4,736.mp3
737,歌迷在台下欢呼。,歌迷在台下歡呼。,Gēmí zài táixià huānhū.,The fans are cheering below the stage.,4,737.mp3
738,初冬时节，他还坚持晨跑。,初冬時節，他還堅持晨跑。,"Chūdōng shíjié, tā hái jiānchí chénpǎo.",He still insists on running in the morning even though it's early winter.,4,738.mp3
739,我要去跟他谈生意。,我要去跟他談生意。,Wǒ yào qù gēn tā tán shēngyì.,I will talk business with him.,4,739.mp3
740,房间里有火。,房間裡有火。,Fángjiān li yǒu huǒ.,There's a fire in the room.,4,740.mp3
741,即使失败了也没关系。,即使失敗了也沒關係。,Jíshǐ shībàile yě méiguānxi.,It doesn't matter even if you fail.,4,741.mp3
742,墙上挂着一幅画像。,牆上掛著一幅畫像。,Qiáng shàng guàzhe yì fú huàxiàng.,There's a portrait hanging on the wall.,4,742.mp3
743,她要求他道歉。,她要求他道歉。,Tā yāoqiú tā dàoqiàn.,She demanded he apologize.,4,743.mp3
744,他很可怜。,他很可憐。,Tā hěn kělián.,He is very pitiful.,4,744.mp3
745,我不相信，他在骗我。,我不相信，他在騙我。,"Wǒ bù xiāngxìn, tā zài piàn wǒ.",I don't believe it--he's deceiving me.,4,745.mp3
746,我希望你能原谅我。,我希望你能原諒我。,Wǒ xīwàng nǐ néng yuánliàng wǒ.,I hope you can forgive me.,4,746.mp3
747,他的房间很乱。,他的房間很亂。,Tāde fángjiān hěn luàn.,His room is a mess.,4,747.mp3
748,他们差不多一样高。,他們差不多一樣高。,Tāmen chàbuduō yīyàng gāo.,They are about the same height.,4,748.mp3
749,船上堆满了货物。,船上堆滿了貨物。,Chuán shàng duī mǎn le huòwù.,The ship is fully loaded with cargo.,4,749.mp3
750,我 刚刚 休假 回来。,我 剛剛 休假 回來。,Wǒ gānggāng xiūjià huílái.,I just came back from my vacation.,4,750.mp3
751,他们在研究世界地图。,他們在研究世界地圖。,Tāmen zài yánjiū shìjiè dìtú.,They're studying the world map.,4,751.mp3
752,不要打扰我工作！,不要打擾我工作！,Bùyào dǎrǎo wǒ gōngzuò!,Don't disturb my work!,4,752.mp3
753,这是正确答案。,這是正確答案。,Zhè shì zhèngquè dá'àn.,This is the correct answer.,4,753.mp3
754,我的收入提高了。,我的收入提高了。,Wǒ de shōurù tígāo le.,My income went up.,4,754.mp3
755,这次赛跑他用了13秒。,這次賽跑他用了13秒。,Zhè cì sàipǎo tā yòngle shísān miǎo.,He took thirteen seconds to complete the race.,4,755.mp3
756,他们同时走了。,他們同時走了。,Tāmen tóngshí zǒu le.,They left at the same time.,4,756.mp3
757,她们提供电话服务。,她們提供電話服務。,Tāmen tígōng diànhuà fúwù.,They provide telephone service.,4,757.mp3
758,售货员请我输入卡号密码。,售貨員請我輸入卡號密碼。,Shòuhuòyuán qǐng wǒ shūrù kǎhào mìmǎ.,The salesperson asked me to enter my pin number.,4,758.mp3
759,这是我的电话号码。,這是我的電話號碼。,Zhè shì wǒ de diànhuà hàomǎ.,This is my telephone number.,4,759.mp3
760,这座城市很大。,這座城市很大。,Zhè zuò chéngshì hěn dà.,This is a huge city.,4,760.mp3
761,他病得很严重。,他病得很嚴重。,Tā bìng de hěn yánzhòng.,He was very ill.,4,761.mp3
762,她正在脱外套。,她正在脫外套。,Tā zhèng zài tuō wàitào.,She's taking off her coat.,4,762.mp3
763,爷爷在陪孙女玩。,爺爺在陪孫女玩。,Yéye zài péi sūnnǚ wánr.,The grandfather is playing with his granddaughter.,4,763.mp3
764,我们必须遵守法律。,我們必須遵守法律。,Wǒmen bìxū zūnshǒu fǎlǜ.,We must obey the law.,4,764.mp3
765,这枚钻戒值得收藏。,這枚鑽戒值得收藏。,Zhè méi zuànjiè zhíde shōucáng.,This diamond ring is worth collecting.,4,765.mp3
766,她能使用这台打印机。,她能使用這台打印機。,Tā néng shǐyòng zhè tái dǎyìnjī.,She can use this printer.,4,766.mp3
767,在学习方面他的成绩很好。,在學習方面他的成績很好。,Zài xuéxí fāngmiàn tā de chéngjì hěn hǎo.,"Regarding his studies, his grades are very good.",4,767.mp3
768,把它恢复到原来的状态。,把它恢復到原來的狀態。,Bǎ tā huīfù dào yuánlái de zhuàngtài.,Return it to its original state.,4,768.mp3
769,他们在讨论这个案子。,他們在討論這個案子。,Tāmen zài tǎolùn zhège ànzi.,They are discussing the case.,4,769.mp3
770,请说明你的观点。,請說明你的觀點。,Qǐng shuōmíng nǐ de guāndiǎn.,Please explain your point of view.,4,770.mp3
771,这个村子的生活条件仍然很原始。,這個村子的生活條件仍然很原始。,Zhège cūnzi de shēnghuó tiáojiàn réngrán hěn yuánshǐ.,The living conditions in this village are still very primitive.,4,771.mp3
772,她的体操动作很标准。,她的體操動作很標準。,Tā de tǐcāo dòngzuò hěn biāozhǔn.,Her gymnastics moves are up to the standard.,4,772.mp3
773,我受到了热烈的欢迎。,我受到了熱烈的歡迎。,Wǒ shòudàole rèliè de huānyíng.,I received a warm welcome.,4,773.mp3
774,我及时赶到了车站。,我及時趕到了車站。,Wǒ jíshí gǎndàole chēzhàn.,I made it to the station in time.,4,774.mp3
775,他怀疑事情出了问题。,他懷疑事情出了問題。,Tā huáiyí shìqing chūle wèntí.,He suspects something has gone wrong.,4,775.mp3
776,他们拒绝和好。,他們拒絕和好。,Tāmen jùjué héhǎo.,They refuse to reconcile.,4,776.mp3
777,她是女演员。,她是女演員。,Tā shì nǚyǎnyuán.,She's an actress.,4,777.mp3
778,那个箱子破了。,那個箱子破了。,Nàge xiāngzi pò le.,The trunk is broken.,4,778.mp3
779,下雨，因此比赛延期了。,下雨，因此比賽延期了。,"Xiàyǔ, yīncǐ bǐsài yánqī le.",The game will be postponed because it's raining.,4,779.mp3
780,请告诉我答案。,請告訴我答案。,Qǐng gàosu wǒ dá'àn.,Please tell me the answer.,4,780.mp3
781,孩子们在这里活动。,孩子們在這裡活動。,Háizimen zài zhèlǐ huódòng.,Children are exercising here.,4,781.mp3
782,既然天晴了，我们把衣服晾了吧。,既然天晴了，我們把衣服晾了吧。,"Jìrán tiānqíng le, wǒmen bǎ yīfu liàng le ba.","Since the weather became sunny, let's hang our clothes.",4,782.mp3
783,他通知我去开会。,他通知我去開會。,Tā tōngzhī wǒ qù kāihuì.,He informed me that I should attend the meeting.,4,783.mp3
784,无论天气如何，他都去跑步。,無論天氣如何，他都去跑步。,"Wúlùn tiānqì rúhé, tā dōu qù pǎobù.","No matter what the weather, he always goes jogging.",4,784.mp3
785,我 需要 买 新的 剃须刀。,我 需要 買 新的 剃鬚刀。,Wǒ xūyào mǎi xīnde tìxūdāo.,I need to buy a new razor.,4,785.mp3
786,太极运动适合老年人。,太極運動適合老年人。,Tàijí yùndòng shìhé lǎoniánrén.,Tai Chi exercises are appropriate for the elderly.,4,786.mp3
787,对不起让你失望了。,對不起讓你失望了。,Duìbuqǐ ràng nǐ shīwàng le.,I'm sorry to have disappointed you.,4,787.mp3
788,她不允许丈夫出门。,她不允許丈夫出門。,Tā bù yǔnxǔ zhàngfu chūmén.,She won't allow her husband to go out.,4,788.mp3
789,你有什么意见？,你有什麼意見？,Nǐ yǒu shénme yìjiàn?,What's your opinion?,4,789.mp3
790,他获得了一个机会。,他獲得了一個機會。,Tā huòdéle yī gè jīhuì.,He's obtained an opportunity.,4,790.mp3
791,要是你不来，我就跟你分手。,要是你不來，我就跟你分手。,"Yàoshi nǐ bù lái, wǒ jiù gēn nǐ fēnshǒu.","If you don't come, I am going to break up with you.",4,791.mp3
792,她被邀请参加派对。,她被邀請參加派對。,Tā bèi yāoqǐng cānjiā pàiduì.,She was invited to a party.,4,792.mp3
793,有什么要求尽管说。,有什麼要求儘管說。,Yǒu shénme yāoqiú jǐnguǎn shuō.,Feel free to ask whatever you want.,4,793.mp3
794,不能浪费食物。,不能浪費食物。,Bù néng làngfèi shíwù.,Don't waste your food.,4,794.mp3
795,他投资失败了。,他投資失敗了。,Tā tóuzī shībài le.,His investment was a failure.,4,795.mp3
796,儿女有责任赡养父母。,兒女有責任贍養父母。,Érnǚ yǒu zérèn shànyǎng fùmǔ.,It's the duty of children to care for their parents.,4,796.mp3
797,她年轻而美丽。,她年輕而美麗。,Tā niánqīng ér měilì.,She's young and beautiful.,4,797.mp3
798,他承受着很大的工作压力。,他承受著很大的工作壓力。,Tā chéngshòuzhe hěn dà de gōngzuò yālì.,He's under a lot of pressure at work.,4,798.mp3
799,这道菜的味道很一般。,這道菜的味道很一般。,Zhè dào cài de wèidao hěn yìbān.,The taste of this dish is very ordinary.,4,799.mp3
800,他感冒了，头痛得厉害。,他感冒了，頭痛得厲害。,"Tā gǎnmào le, tóu tòngde lìhai.",He caught a cold and has a bad headache.,4,800.mp3
801,他要出发了。,他要出發了。,Tā yào chūfā le.,He has to leave.,4,801.mp3
802,你为什么如此兴奋？,你為什麼如此興奮？,Nǐ wèishénme rúcǐ xīngfèn?,Why are you so excited?,4,802.mp3
803,看台上挤满了观众。,看臺上擠滿了觀眾。,Kàntái shàng jǐmǎn le guānzhòng.,Spectators crowded the bleachers.,4,803.mp3
804,NO表示反对。,NO表示反對。,NO biǎoshì fǎnduì.,No means opposition.,4,804.mp3
805,话剧表演得很精彩。,話劇表演得很精彩。,Huàjù biǎoyǎn de hěn jīngcǎi.,The play was brilliant.,4,805.mp3
806,他们俩的感情很不错。,他們倆的感情很不錯。,Tāmen liǎ de gǎnqíng hěn bùcuò.,They have a close relationship.,4,806.mp3
807,演出开始了。,演出開始了。,Yǎnchū kāishǐ le.,The performance has started.,4,807.mp3
808,祝我们合作愉快！,祝我們合作愉快！,Zhù wǒmen hézuò yúkuài!,Here's wishing that we have a pleasant cooperation!,4,808.mp3
809,你在开玩笑吧？,你在開玩笑吧？,Nǐ zài kāi wánxiào ba?,Are you kidding?,4,809.mp3
810,新杂志出版了。,新雜誌出版了。,Xīn zázhì chūbǎn le.,The new magazine has been published.,4,810.mp3
811,他穿这件衣服很合适。,他穿這件衣服很合適。,Tā chuān zhèjiàn yīfu hěn héshì.,This shirt fits him well.,4,811.mp3
812,我们在报纸上登了广告。,我們在報紙上登了廣告。,Wǒmen zài bàozhǐ shang dēngle guǎnggào.,We placed an advertisement in the newspaper.,4,812.mp3
813,我们要保护自然资源。,我們要保護自然資源。,Wǒmen yào bǎohù zìrán zīyuán.,We must protect our natural resources.,4,813.mp3
814,这个洞很深。,這個洞很深。,Zhège dòng hěn shēn.,This hole is very deep.,4,814.mp3
815,由于下雨，比赛取消了。,由於下雨，比賽取消了。,"Yóuyú xiàyǔ, bǐsài qǔxiāo le.","Due to the rain, the game has been canceled.",4,815.mp3
816,手机一打开，他就接到一连串的短信．,手機一打開，他就接到一連串的短信．,"Shǒujī yī dǎkāi, tā jiù jiē dào yīliánchuàn de duǎnxìn.","The moment his cell phone was turned on, he received a series of text messages.",4,816.mp3
817,我们要爱护地球。,我們要愛護地球。,Wǒmen yào àihù dìqiú.,We should love and protect our planet.,4,817.mp3
818,你 只 是 觉得 他 帅。,你 只 是 覺得 他 帥。,Nǐ zhǐ shì juéde tā shuài.,You just think he's cute.,4,818.mp3
819,他在推车。,他在推車。,Tā zài tuīchē.,He's pushing the car.,4,819.mp3
820,比赛的关键时刻到了。,比賽的關鍵時刻到了。,Bǐsài de guānjiàn shíkè dào le.,The crucial moment in the game has come.,4,820.mp3
821,还有空房吗？,還有空房嗎？,Hái yǒu kong1fáng ma?,Are there any rooms vacant?,4,821.mp3
822,他们躺在草地上休息。,他們躺在草地上休息。,Tāmen tǎng zài cǎodì shang xiūxi.,"They're lying on the grass, resting.",4,822.mp3
823,他们偕同妻子参加了聚会。,他們偕同妻子參加了聚會。,Tāmen xiétóng qīzi cānjiāle jùhuì.,They went to the get-together with their wives.,4,823.mp3
824,他迷失了方向。,他迷失了方向。,Tā míshīle fāngxiàng.,He's lost his way.,4,824.mp3
825,他们的生活很幸福。,他們的生活很幸福。,Tāmen de shēnghuó hěn xìngfú.,They have happy lives.,4,825.mp3
826,她放学后接着就回家了。,她放學後接著就回家了。,Tā fàngxué hòu jiēzhe jiù huíjiā le.,She went home after classes were over.,4,826.mp3
827,他开车的技术很高。,他開車的技術很高。,Tā kāichē de jìshù hěn gāo.,His driving skills are very strong.,4,827.mp3
828,在困难的条件下他们完成了任务。,在困難的條件下他們完成了任務。,Zài kùnnan de tiáojiàn xià tāmen wánchéngle rènwu.,They accomplished their mission under difficult conditions.,4,828.mp3
829,现场的营救工作很困难。,現場的營救工作很困難。,Xiànchǎng de yíngjiù gōngzuò hěn kùnnan.,On-the-scene rescue work is very difficult.,4,829.mp3
830,时间正好合适。,時間正好合適。,Shíjiān zhènghǎo héshì.,This is just the right time.,4,830.mp3
831,请提醒我去开会。,請提醒我去開會。,Qǐng tíxǐng wǒ qù kāihuì.,Please remind me to attend the meeting.,4,831.mp3
832,男朋友同我一起去旅行。,男朋友同我一起去旅行。,Nánpéngyou tóng wǒ yīqǐ qù lǚxíng.,My boyfriend and I travel together.,4,832.mp3
833,他很激动，甚至连话都说不出来了。,他很激動，甚至連話都說不出來了。,"Tā hěn jīdòng, shènzhì lián huà dōu shuō bu chūlái le.",He was so excited that he couldn't utter a word.,4,833.mp3
834,得奖了，我感到很骄傲。,得獎了，我感到很驕傲。,"Déjiǎng le, wǒ gǎndào hěn jiāo'ào.",I'm very proud of the prize I won.,4,834.mp3
835,她 穿 橙色的 毛衣。,她 穿 橙色的 毛衣。,Tā chuān chéngsède máoyī.,She is wearing a orange sweater.,4,835.mp3
836,新 老师 应该 节食。,新 老師 應該 節食。,Xīn lǎoshī yīnggāi jiéshí.,The new teacher should go on a diet.,4,836.mp3
837,停车场停了许多汽车。,停車場停了許多汽車。,Tíngchēchǎng tíngle xǔduō qìchē.,There are a lot of cars parked in the parking lot.,4,837.mp3
838,她顺利地产下了儿子。,她順利地產下了兒子。,Tā shùnlì de chǎnxiàle érzi.,She safely gave birth to a boy.,4,838.mp3
839,她从事教育职业。,她從事教育職業。,Tā cóngshì jiàoyù zhíyè.,She works in the field of education.,4,839.mp3
840,我赚了一笔钱。,我賺了一筆錢。,Wǒ zhuàn le yī bǐ qián.,I've made some money.,4,840.mp3
841,我的地址是……,我的地址是……,Wǒde dìzhǐ shì ……,My address is…,4,841.mp3
842,他完成了工作，于是回家了。,他完成了工作，於是回家了。,"Tā wánchéngle gōngzuò, yúshì huíjiā le.",He finished the work and then went home.,4,842.mp3
843,她在收拾餐具。,她在收拾餐具。,Tā zài shōushi cānjù.,She's putting away the dinnerware.,4,843.mp3
844,房子的周围是一片草地。,房子的周圍是一片草地。,Fángzi de zhōuwéi shì yī piàn cǎodì.,The house is surrounded by lawn.,4,844.mp3
845,玫瑰让人联想到爱情。,玫瑰讓人聯想到愛情。,Méigui ràng rén liánxiǎng dào àiqíng.,Roses remind people of love.,4,845.mp3
846,每个人都要互相尊重。,每個人都要互相尊重。,Měige rén dōu yào hùxiāng zūnzhòng.,Everyone should respect each other.,4,846.mp3
847,十分钟后开会。,十分鐘後開會。,Shí fēnzhōng hòu kāihuì.,The meeting will start in 10 minutes.,4,847.mp3
848,他是大学教授。,他是大學教授。,Tā shì dàxué jiàoshòu.,He's a university professor.,4,848.mp3
849,6号超过了所有的选手。,6號超過了所有的選手。,Liù hào chāoguòle suǒyǒude xuǎnshǒu.,No. 6 has taken the lead over all the other contestants.,4,849.mp3
850,我去邮局寄信。,我去郵局寄信。,Wǒ qù yóujú jìxìn.,I'm going to the post office to mail a letter.,4,850.mp3
851,她工作之余顺便在巴黎游玩。,她工作之餘順便在巴黎遊玩。,Tā gōngzuò zhī yú shùnbiàn zài Bālí yóuwán.,She travels to Paris when she gets time off from work.,4,851.mp3
852,学习 数学 很 无聊。,學習 數學 很 無聊。,Xuéxí shùxué hěn wúliáo.,Studying Math is very boring.,4,852.mp3
853,我们到达了目的地。,我們到達了目的地。,Wǒmen dàodále mùdìdì.,We've arrived at our destination.,4,853.mp3
854,昨天的气温很低。,昨天的氣溫很低。,Zuótiān de qìwēn hěn dī.,The temperature was very low yesterday.,4,854.mp3
855,这个月的薪水还有剩余。,這個月的薪水還有剩餘。,Zhège yuè de xīnshui3 hái yǒu shèngyú.,Some of this month's salary is still left over.,4,855.mp3
856,人体的组织结构很复杂。,人體的組織結構很複雜。,Réntǐ de zǔzhī jiégòu hěn fùzá.,The structure of the human body is complicated.,4,856.mp3
857,工人为社会服务。,工人為社會服務。,Gōngrén wèi shèhuì fúwù.,Workers serve society.,4,857.mp3
858,多劳动对身体有好处。,多勞動對身體有好處。,Duō láodòng duì shēntǐ yǒu hǎochù.,It's good for one's health to do manual labor.,4,858.mp3
859,你竟然给我打电话。,你竟然給我打電話。,Nǐ jìngrán gěi wǒ dǎ diànhuà.,What a surprise that you should call me.,4,859.mp3
860,他对你表示感谢。,他對你表示感謝。,Tā duì nǐ biǎoshì gǎnxiè.,He expressed his gratitude towards you.,4,860.mp3
861,我对他印象很深。,我對他印象很深。,Wǒ duì tā yìnxiàng hěn shēn.,He left a deep impression on me.,4,861.mp3
862,这个城市是我出生的地方。,這個城市是我出生的地方。,Zhège chéngshì shì wǒ chūshēng de dìfang.,This city is where I was born.,4,862.mp3
863,估计晚上会下雨。,估計晚上會下雨。,Gūjì wǎnshang huì xiàyǔ.,I think it will rain tonight.,4,863.mp3
864,你 看起来 很 轻松。,你 看起來 很 輕鬆。,Nǐ kànqǐlái hěn qīngsōng.,You appear to be relaxed.,4,864.mp3
865,马轻松地越过了障碍。,馬輕鬆地越過了障礙。,Mǎ qīngsōng de yuèguòle zhàng'ài.,The horse easily jumped over the barrier.,4,865.mp3
866,药开始起作用了。,藥開始起作用了。,Yào kāishǐ qǐ zuòyòng le.,The medicine began to take effect.,4,866.mp3
867,还不知道选举的结果。,還不知道選舉的結果。,Hái bù zhīdào xuǎnjǔ de jiéguǒ.,We don't know the election results yet.,4,867.mp3
868,他是全国著名的作家。,他是全國著名的作家。,Tā shì quánguó zhùmíng de zuòjiā.,He's a writer known to the whole nation.,4,868.mp3
869,今天公园免费开放。,今天公園免費開放。,Jīntiān gōngyuán miǎnfèi kāifàng.,Park admission is free today.,4,869.mp3
870,莫要太伤心！,莫要太傷心！,Mò yào tài shāngxīn!,Don't grieve too much.,4,870.mp3
871,他是新闻记者。,他是新聞記者。,Tā shì xīnwén jìzhě.,He's a news reporter.,4,871.mp3
872,医生仔细检查她的身体。,醫生仔細檢查她的身體。,Yīshēng zǐxì jiǎnchá tā de shēntǐ.,The doctor is checking her health carefully.,4,872.mp3
873,他的嘴上和脸上都沾满了巧克力。,他的嘴上和臉上都沾滿了巧克力。,Tā de zuǐshàng hé liǎnshàng dōu zhānmǎn le qiǎokèlì.,His lips and face are covered with chocolate.,4,873.mp3
874,辣椒、洋葱和胡萝卜都属于蔬菜类。,辣椒、洋蔥和胡蘿蔔都屬於蔬菜類。,Làjiāo、yángcōng hé húluóbo dōu shǔyú shūcàilèi.,"Peppers, onions and carrots are all vegetables.",4,874.mp3
875,我们需要互相帮助。,我們需要互相幫助。,Wǒmen xūyào hùxiāng bāngzhù.,We need to help one another.,4,875.mp3
876,这是男厕所。,這是男廁所。,Zhè shì nán cèsuǒ.,This is the men's toilet.,4,876.mp3
877,它的制造过程很复杂。,它的製造過程很複雜。,Tā de zhìzào guòchéng hěn fùzá.,The manufacturing process is very complicated.,4,877.mp3
878,请填写申请表。,請填寫申請表。,Qǐng tiánxiě shēnqǐngbiǎo.,Please fill in the application form.,4,878.mp3
879,她引起了我的注意。,她引起了我的注意。,Tā yǐnqǐle wǒ de zhùyì.,She caught my attention.,4,879.mp3
880,最近科技发展很快。,最近科技發展很快。,Zuìjìn kējì fāzhǎn hěn kuài.,Technology has recently been developing rapidly.,4,880.mp3
881,我今年大学毕业。,我今年大學畢業。,Wǒ jīnnián dàxué bìyè.,I'll graduate from university this year.,4,881.mp3
882,比赛正式开始了。,比賽正式開始了。,Bǐsài zhèngshì kāishǐ le.,The game officially began.,4,882.mp3
883,厨房很干净。,廚房很乾淨。,Chúfáng hěn gānjìng.,The kitchen is very clean.,4,883.mp3
884,他是医学专业的学生。,他是醫學專業的學生。,Tā shì yīxué zhuānyè de xuésheng.,He's a student majoring in medicine.,4,884.mp3
885,磁铁互相吸引。,磁鐵互相吸引。,Cítiě hùxiāng xīyǐn.,The magnets attract each other.,4,885.mp3
886,我今天心情不错。,我今天心情不錯。,Wǒ jīntiān xīnqíng búcuò.,I'm in a good mood today.,4,886.mp3
887,祝贺你毕业了！,祝賀你畢業了！,Zhùhè nǐ bìyè le!,Congratulations on your graduation!,4,887.mp3
888,这个村子的生活条件仍然很原始。,這個村子的生活條件仍然很原始。,Zhège cūnzi de shēnghuó tiáojiàn réngrán hěn yuánshǐ.,The living conditions in this village are still very primitive.,4,888.mp3
889,千万不要挑拨夫妻关系。,千萬不要挑撥夫妻關係。,Qiānwàn bùyào tiǎobō fūqī guānxi.,Never sow discord between husband and wife.,4,889.mp3
